Группа вопросов/тема,Вопрос,Ответ на вопрос,Сложность/уровень вопроса,"Попадался ли на интервью, если да то какой компании",Ссылка на статью с объяснением/ответом
Глубокое обучение,"Если при обучении использовался dropout для регуляризации,
что происходит на инференсе модели?","Dropout во время инференса отключается. На этапе инференса (т.е., при предсказании) используется вся сеть без случайного отключения нейронов, и веса масштабируются, чтобы учесть, что на этапе обучения некоторые нейроны отключались. Это обеспечивает стабильность и согласованность результатов.",,,https://pytorch.org/docs/stable/generated/torch.nn.Dropout.html#dropout
Глубокое обучение,Техники регуляризации в глубоком обучении.,"Основные техники регуляризации:

Dropout: Случайное отключение нейронов во время обучения для предотвращения переобучения.
L1 и L2-регуляризация: Добавление штрафа к функции потерь за большие значения весов, что способствует их уменьшению.
Early Stopping: Остановка обучения при ухудшении качества на валидационной выборке.
Data Augmentation: Искусственное увеличение тренировочного набора данных путём применения трансформаций к данным.
Batch Normalization: Нормализация выходов слоёв для уменьшения внутреннего смещения и ускорения обучения.",Стажер,АИРИ,
Глубокое обучение,Как работает Dropout?,"Dropout – это техника, при которой в процессе обучения нейросети случайно ""выключаются"" (устанавливаются в ноль) некоторые нейроны с вероятностью 
𝑝
p. Это предотвращает коадаптацию нейронов и способствует более устойчивому обобщению сети. При этом веса на этапе инференса масштабируются на
1−p, чтобы учесть изменение структуры сети.",Стажер,АИРИ,
Глубокое обучение,Для чего делить значения на 1-p во время обучения в Dropout?,"Во время обучения веса делятся на 1−p для компенсации эффекта случайного отключения нейронов. Это делается, чтобы обеспечить правильный масштаб активностей при инференсе, где все нейроны активны. Это позволяет сети работать с той же интенсивностью сигналов, как и на этапе обучения.",Стажер,АИРИ,
Глубокое обучение,Как работает BatchNorm?,"Batch Normalization (BatchNorm) – это процесс нормализации активаций в нейронной сети по мини-батчам. На каждом слое и для каждого мини-батча:

Вычисляются среднее и дисперсия активаций.
Активации нормализуются с использованием этих значений.
Применяются обучаемые параметры масштабирования и сдвига, чтобы вернуть модель к выражательной способности.
BatchNorm ускоряет обучение и улучшает сходимость за счёт снижения внутренних изменений в распределении активаций.",Стажер,АИРИ,
Глубокое обучение,Для чего нужно накопление среднего и дисперсии в батчнорм во время обучения?,"Накопление среднего и дисперсии в BatchNorm нужно для того, чтобы иметь возможность нормализовать данные на этапе инференса, когда проход через сеть осуществляется с одним образцом (или без расчёта средних и дисперсий для мини-батча). Это позволяет использовать статистику, накопленную на этапе обучения, для предсказаний и делает инференс детерминированным.",Стажер,АИРИ,
Кластеризация,Кластеризация-Что это такое? Какие методы знаете?,"Кластеризация – это метод анализа данных, который объединяет данные в группы (кластеры) на основе схожести между элементами в каждом кластере.

Методы кластеризации:

K-средние (K-means): Разделяет данные на k кластеров, минимизируя внутрикластерное расхождение.
Иерархическая кластеризация: Создаёт древовидную структуру кластеров (дендрограмму), с объединением или разбиением кластеров.
DBSCAN: Кластеризует данные на основе плотности, определяя плотные регионы как кластеры.
Gaussian Mixture Models (GMM): Представляет данные как комбинацию нескольких гауссовых распределений.",,,
Кластеризация,Для чего может использоваться кластеризация?,"Кластеризация используется для разделения данных на группы (кластеры) на основе их сходства, что позволяет обнаружить скрытые структуры в данных без использования меток. Она может применяться для сегментации клиентов в маркетинге, анализа социального поведения, уменьшения размерности данных и выявления аномалий. Этот метод полезен в случаях, когда необходимо найти закономерности или тренды в больших объемах данных.",,,
Кластеризация,Объясните разницу между knn и k-means,"K-nearest neighbors (k-NN) — это алгоритм обучения с учителем, используемый для классификации и регрессии, который определяет класс или значение объекта на основе большинства его ближайших соседей в пространстве признаков. В отличие от него, k-means — это алгоритм обучения без учителя, применяемый для кластеризации, который делит данные на k кластеров, минимизируя внутрикластерное расстояние. Основное различие в том, что k-NN классифицирует новые данные на основе размеченного обучающего набора, тогда как k-means разделяет данные на кластеры без заранее известной разметки.",,,https://www.simplilearn.com/tutorials/machine-learning-tutorial/machine-learning-interview-questions#:~:text=Compare%20K%2Dmeans%20and%20KNN%20Algorithms
Кластеризация,Какие метрики для классификации и кластерации использовал?,"Метрики для классификации:
Accuracy (Точность): Доля правильно классифицированных объектов.
Precision (Точность положительных прогнозов): Доля истинных положительных среди всех объектов, предсказанных как положительные.
Recall (Полнота): Доля истинных положительных объектов среди всех положительных в выборке.
F1-score: Гармоническое среднее точности и полноты.
ROC-AUC: Площадь под ROC-кривой, показывающая соотношение истинных положительных и ложных положительных при различных порогах классификации.
Log Loss (Логарифмическая потеря): Оценка качества классификации, использующая вероятности предсказаний.
Метрики для кластеризации:
Silhouette Score (Коэффициент силуэта): Оценивает, насколько объект близок к объектам своего кластера по сравнению с объектами других кластеров.
Dunn Index (Индекс Данна): Отношение минимального межкластерного расстояния к максимальному внутрикластерному расстоянию.
Davies-Bouldin Index (Индекс Дэвиса-Болдина): Среднее отношение внутрикластерных дистанций к межкластерным.
Adjusted Rand Index (Корректированный индекс Рэнда): Сравнивает сходство между двумя наборами кластеров, учитывая случайное распределение.
Normalized Mutual Information (Нормированная взаимная информация): Измеряет информацию, общую для двух распределений, нормированную по информации в каждом.",,,
Кластеризация,Расскажи про иерархическую кластеризацию?,"Иерархическая кластеризация создает дерево кластеров (дендрограмму) и может быть агломеративной или дивизионной. В агломеративной кластеризации каждый объект сначала рассматривается как отдельный кластер, и кластеры объединяются снизу вверх, пока не останется один кластер. В дивизионной кластеризации процесс идет сверху вниз, начиная с одного кластера и разделяя его до получения отдельных объектов. Расстояния между кластерами могут рассчитываться различными методами, такими как метод одиночной связи, полной связи или средней связи.",,,
Кластеризация,Какова алгоритмическая сложность knn?,"Алгоритмическая сложность KNN (k-ближайших соседей) составляет O(n * d) для поиска ближайших соседей в простейшем случае, где n — количество объектов в тренировочном наборе, а d — размерность пространства. При использовании структур данных, таких как kd-деревья, сложность может уменьшиться до O(log n) для поиска, но построение дерева имеет сложность O(n * log n).",,,
Кластеризация,Как можно подобрать оптимальное число кластеров в KMeans?,"Оптимальное число кластеров в KMeans можно определить несколькими методами:

Метод локтя (Elbow Method): Строится график суммы квадратов внутрикластерных расстояний для разных значений k, и выбирается точка, где происходит замедление уменьшения этой суммы.

Коэффициент силуэта (Silhouette Score): Оценивает плотность и разделение кластеров; выбирается значение k, при котором этот коэффициент максимален.

Критерий Гапа (Gap Statistic): Сравнивает логарифм внутрикластерной дисперсии с ожидаемой дисперсией, полученной на случайных данных.

Сравнение с реальными данными: Если доступны истинные метки, можно сравнить результаты кластеризации с ними, используя метрики, такие как Adjusted Rand Index.",Junior NLP,Сбер,
Линейная регрессия,Линейная регрессия-Описать алгоритм работы,"Линейная регрессия — это метод моделирования зависимости между зависимой переменной (откликом) и одной или несколькими независимыми переменными (факторами). Алгоритм ищет линейное уравнение, которое минимизирует разницу между предсказанными и реальными значениями. Обучение заключается в нахождении коэффициентов, которые минимизируют функцию потерь, обычно среднеквадратичную ошибку.",,,
Линейная регрессия,Плюсы/минусы линейной регрессии,"Плюсы:

Простота и интерпретируемость.
Быстрота обучения на больших объемах данных.
Легкость в обработке мультиколлинеарных данных.
Минусы:

Чувствительность к выбросам.
Предположение линейности между переменными, что может не всегда выполняться.
Не подходит для моделирования сложных нелинейных зависимостей.",,,
Линейная регрессия,Линейная регрессия-Функция потерь,"Функция потерь в линейной регрессии — это среднеквадратичная ошибка (MSE). Она рассчитывает среднее значение квадратов разности между реальными значениями и предсказанными значениями. MSE стремится минимизировать эту разность, подбирая оптимальные коэффициенты регрессии.",,,
Линейная регрессия,Чем плохи большие веса?,"Большие веса в модели могут привести к переобучению, так как модель может слишком сильно подстроиться под тренировочные данные, теряя способность к генерализации на новых данных. Это может также привести к высокой вариативности в предсказаниях и увеличению чувствительности к шуму в данных.",,,
Логистическая регрессия,Логистическая регрессия-Описать алгоритм работы,"Логистическая регрессия используется для решения задач классификации, моделируя вероятность принадлежности объекта к определенному классу. Она использует логистическую функцию для преобразования линейной комбинации входных признаков в вероятность, ограниченную диапазоном от 0 до 1. Алгоритм находит коэффициенты, которые максимизируют логарифмическую правдоподобие (Log-Likelihood) функции.",,,
Логистическая регрессия,Логистическая регрессия - Какая функция потерь?,"Функция потерь в логистической регрессии — это логарифмическая функция правдоподобия (Log-Loss) или бинарная кросс-энтропия. Она измеряет расхождение между предсказанными вероятностями и реальными метками классов, стремясь минимизировать это расхождение.",,,
Математика (Оптимизация),"Что такое порядок градиента в теории оптимизации?
Что такое 0ой порядок, где и как используется? Почему бы не 
использовать матрицу Хесса на практике для расчёта 
градиента, ведь он точнее и стабильнее (отсылка к хранению 
градиентов в памяти)?","Порядок градиента в теории оптимизации указывает на использование производных функций для обновления параметров. 0-й порядок использует только значения функции, 1-й порядок использует первые производные (градиенты), а 2-й порядок использует вторые производные (матрицы Гессе). Методы нулевого порядка, такие как метод случайного поиска или метод безградиентной оптимизации, используют только значения функции для обновления параметров. Они применяются, когда вычисление градиентов невозможно или дорого, например, при оптимизации черного ящика или функций с дискретными значениями. Матрица Гессе, учитывающая вторые производные, может дать более точные результаты, но её использование связано с высокой вычислительной сложностью и большим потреблением памяти, особенно в задачах с большим количеством параметров. Это делает её применение неэффективным для многих практических задач. Методы первого порядка, такие как градиентный спуск, проще и более масштабируемы, поэтому они чаще используются на практике.",Middle (R&D),bidease,
Метод опорных векторов / SVM,SVM-Расскажите суть SVM метода,"Метод опорных векторов (Support Vector Machine, SVM) — это алгоритм машинного обучения для задач классификации и регрессии, который находит гиперплоскость, максимально разделяющую данные на классы. Цель SVM — максимизировать зазор между данными разных классов, используя точки, называемые опорными векторами. SVM также может использовать ядра (kernel functions) для классификации нелинейных данных, трансформируя пространство признаков.",,,
Методы регуляризации,Чем L1 от L2 отличается?,"L1 и L2 — это виды регуляризации, используемые для предотвращения переобучения модели.

L1-регуляризация (Lasso): Использует сумму абсолютных значений весов. Она может обнулять некоторые веса, тем самым уменьшая количество признаков.
L2-регуляризация (Ridge): Использует сумму квадратов весов. Она уменьшает величину весов, но редко приводит их к нулю.",,,
Методы регуляризации,Как именно работают L1 и L2 методы регуляризации?,"L1-регуляризация (Lasso) добавляет штраф к функции потерь, пропорциональный сумме абсолютных значений коэффициентов. Это приводит к обнулению некоторых весов, отбрасывая несущественные признаки.
L2-регуляризация (Ridge) добавляет штраф, пропорциональный сумме квадратов коэффициентов, сглаживая весовые коэффициенты и предотвращая их чрезмерное увеличение.",,,
Методы регуляризации,Каким образом L1 обнуляет веса?,"L1-регуляризация накладывает линейное ограничение на веса, что приводит к тому, что при минимизации функции потерь некоторые веса стремятся к нулю. Это создает разреженные модели, где многие веса обнуляются, отбрасывая несущественные признаки и повышая интерпретируемость модели.",,,
Метрики и функции потерь,Какие метрики регрессии существуют?,"Среднеквадратичная ошибка (MSE): Среднее квадратов ошибок между предсказанными и истинными значениями.
Средняя абсолютная ошибка (MAE): Среднее абсолютных ошибок между предсказанными и истинными значениями.
Коэффициент детерминации (R²): Оценивает, насколько хорошо модель объясняет вариативность данных.
Средняя абсолютная процентная ошибка (MAPE): Среднее абсолютных процентных ошибок между предсказанными и истинными значениями.
Среднеквадратичный логарифмический корень ошибки (RMSLE): Корень среднего квадрата логарифмических ошибок.",,,https://loginom.ru/blog/quality-metrics#:~:text=Он%20включает%20в%20себя%20следующие%20меры%3A
Метрики и функции потерь,Кросс-энтропия - это ..?,"Кросс-энтропия — это функция потерь, измеряющая расхождение между истинным распределением классов и распределением, предсказанным моделью. В задачах классификации кросс-энтропия оценивает, насколько вероятности, предсказанные моделью, совпадают с истинными метками классов.",,,
Метрики и функции потерь,Кросс-энтропия: какое основание у логарифма и важно ли оно,"Основание логарифма в кросс-энтропии обычно не важно, так как это просто масштабирует значение потерь. Однако на практике чаще всего используется натуральный логарифм (основание e), так как это приводит к удобной аналитической форме для вычислений и оптимизации.",,,https://education.yandex.ru/handbook/ml/article/eksponencialnyj-klass-raspredelenij-i-princip-maksimalnoj-entropii#entropiya-i-divergencziya-kulbaka-lejblera:~:text=В%20классическом%20определении%20логарифм
Метрики и функции потерь,Назовите 5 функций потерь,"Среднеквадратичная ошибка (MSE)
Средняя абсолютная ошибка (MAE)
Логистическая потеря (Log Loss)
Кросс-энтропия
Hinge Loss (для SVM)",,,
Метрики и функции потерь,Какие функции потерь для классификации?,"Логистическая потеря (Log Loss)
Кросс-энтропия
Hinge Loss
Квадратная потеря (в редких случаях, когда классы числовые)
Focal Loss (для борьбы с несбалансированными данными)",,,
Метрики и функции потерь,Какие функции потерь для регрессии?,"Среднеквадратичная ошибка (MSE)
Средняя абсолютная ошибка (MAE)
Хьюберовская потеря (Huber Loss)
Среднеквадратичный логарифмический корень ошибки (RMSLE)
Квинтильная потеря (Quantile Loss)",,,
Метрики и функции потерь,Почему MSE нельзя брать в задаче классификации?,"MSE нельзя использовать в задачах классификации, так как она не подходит для категориальных данных и плохо справляется с моделированием вероятностей. MSE может создать неоднозначные решения, когда модель пытается минимизировать ошибки, не принимая во внимание вероятности классов, что приводит к неустойчивым и неточным предсказаниям.",,,https://jamesmccaffrey.wordpress.com/2013/11/05/why-you-should-use-cross-entropy-error-instead-of-classification-error-or-mean-squared-error-for-neural-network-classifier-training/
Метрики и функции потерь,"Чем отличается MAE от MAPE, что более понятно бизнесу?","MAE (средняя абсолютная ошибка) измеряет среднюю абсолютную разницу между предсказанными и реальными значениями, что полезно, когда важна конкретная величина ошибки. MAPE (средняя абсолютная процентная ошибка) измеряет среднюю процентную разницу и более понятна бизнесу, так как представляет ошибки в виде процентов, что позволяет легко интерпретировать ошибки в контексте масштабов данных.",,,
Метрики и функции потерь,Что такое MAPE?,"MAPE (средняя абсолютная процентная ошибка) — это метрика регрессии, измеряющая среднюю процентную ошибку между предсказанными и реальными значениями. MAPE вычисляет средний абсолютный процент разницы, что делает её полезной для оценки относительных ошибок в бизнес-контексте.",,,
Метрики и функции потерь,"Какая модель классификации из трёх будет иметь более высокую предсказательную способность, если метрика ROC-AUC = (0.51, 0.65, 0.88) соответственно для каждой модели?","Модель с ROC-AUC = 0.88 будет иметь более высокую предсказательную способность. ROC-AUC измеряет способность модели различать классы; чем выше значение, тем лучше модель. Значение 0.88 указывает на хорошую дискриминацию, тогда как 0.51 близко к случайному угадыванию.",,"Wildberries, Сбер",
Метрики и функции потерь,Что произойдёт с графиком ROC-AUC если мы возведём все предсказания в квадрат?,"Возведение предсказаний в квадрат не изменит график ROC-AUC и значение метрики, поскольку ROC-AUC зависит только от порядка предсказаний, а не от их абсолютных значений. При возведении в квадрат порядок вероятностей не изменится, поэтому ROC-кривая и AUC останутся прежними.",,"Wildberries, Сбер",
Метрики и функции потерь,Что будет с графиком ROC-AUC и метрикой если к предикту добавить константу?,"Добавление константы к предсказаниям также не повлияет на график ROC-AUC и значение метрики, поскольку ROC-AUC оценивает только порядок вероятностей. Порядок останется неизменным, так как добавление константы ко всем значениям не меняет их относительное расположение.",,"Wildberries, Сбер",
Метрики и функции потерь,Расскажите про ROC-AUC. Что означает значение 0.5 ROC-AUC?,"ROC-AUC (Receiver Operating Characteristic - Area Under Curve) — это метрика, оценивающая качество классификатора по способности различать классы. ROC-кривая строится по оси истинных положительных значений (TPR) и ложных положительных значений (FPR) для различных порогов классификации.

Значение ROC-AUC = 0.5 означает, что модель не различает классы лучше случайного угадывания. Это указывает на то, что модель не имеет дискриминационной способности.

Значение ROC-AUC > 0.5 указывает, что модель имеет некоторую способность различать классы.

Значение ROC-AUC = 1.0 указывает на идеальную классификацию, где все объекты классов правильно разделены.",,"Wildberries, Сбер",
Метрики и функции потерь,"Что произойдет с ROC-AUC, если мы разделим все вероятности на 10? А если умножим?","Разделение всех вероятностей на 10 или их умножение не изменит график ROC-AUC и значение метрики, так как они зависят только от порядка предсказаний. Масштабирование вероятностей не изменяет их относительное расположение, поэтому ROC-кривая и AUC останутся прежними.",,"Wildberries, Сбер",
Метрики и функции потерь,Можно ли в задаче классификации оптимизировать метрику accuracy градиентным спуском?,"Нет, оптимизация метрики accuracy напрямую градиентным спуском невозможна, потому что accuracy — это недифференцируемая функция, основанная на пороговом значении. Вместо этого используют дифференцируемые функции потерь, такие как кросс-энтропия, чтобы обучить модель и затем оценивать accuracy на валидационной выборке.",,Wildberries,
Обработка данных,"Подготовка обучающей выборки-Что делать, если в данных есть дисбаланс классов?","При дисбалансе классов можно использовать несколько подходов:

Взвешивание классов: Присвоение большего веса менее представленным классам при обучении модели.

Undersampling: Уменьшение размера более многочисленного класса для выравнивания частот классов.

Oversampling: Увеличение размера менее многочисленного класса путем повторения или генерации новых данных (например, SMOTE).

Использование специализированных алгоритмов: Например, применение алгоритмов, таких как Random Forest с балансировкой или адаптацией, для работы с несбалансированными данными.

Создание меток: Преобразование задачи в многоклассовую классификацию с учётом баланса.",,,
Обработка данных,Выбросы-Какие методы поиска выбросов вы знаете?,"Метод сигм (Z-score): Оценка того, насколько далеко значение отклоняется от среднего (в количествах сигм).

Метод межквартильного диапазона (IQR): Выбросы определяются как значения, выходящие за границы 
q1 - 1,5 * IQR и Q3 + 1,5 * IQR

Визуальные методы: Использование графиков, таких как диаграммы размаха (boxplots) или гистограммы.

Кластеризация: Выбросы могут быть определены как точки, не принадлежащие ни одному кластеру.

Методы обучения: Использование алгоритмов, таких как Isolation Forest или One-Class SVM, для выявления выбросов.

Метод Локальных Отметок (LOF): Оценка выбросов по плотности точек относительно соседей.",,,
Отбор признаков / Feature engineering,Что делать если много признаков?,"Отбор признаков: Использование методов для выбора наиболее значимых признаков, таких как RFE или Lasso.

Сокращение размерности: Применение методов, таких как PCA или t-SNE, для уменьшения размерности пространства признаков.

Удаление коррелированных признаков: Исключение признаков, имеющих высокую корреляцию, чтобы уменьшить избыточность.

Регуляризация: Применение L1 или L2 регуляризации для снижения влияния незначительных признаков.

Feature Engineering: Создание новых информативных признаков и удаление ненужных.",,,
Отбор признаков / Feature engineering,Какие методы отбора признаков знаешь?,"Filter Methods (Методы фильтрации): Используют статистические тесты для оценки значимости признаков (например, метод выбора на основе взаимной информации).

Wrapper Methods (Методы оболочки): Исследуют различные подмножества признаков, обучая модель и оценивая её производительность (например, рекурсивный отбор признаков - RFE).

Embedded Methods (Встроенные методы): Встроены в модели, такие как Lasso или Random Forest, и автоматически отбирают важные признаки в процессе обучения.

Методы жадного поиска (Greedy Search Methods): Forward Selection и Backward Elimination для последовательного добавления или удаления признаков.

Permutation Importance: Оценивает значимость признаков на основе влияния на качество модели после случайного перемешивания значений признаков.",,,
Отбор признаков / Feature engineering,Что такое permutations importance?,"Permutation Importance — это метод оценки важности признаков, основанный на измерении изменения производительности модели после случайного перемешивания значений конкретного признака. Если перемешивание признака сильно ухудшает качество модели, то этот признак важен. Метод особенно полезен для интерпретации моделей и определения значимости признаков.",,,
Отбор признаков / Feature engineering,Какие методы сокращения размерности знаешь?,"PCA (Анализ главных компонент): Преобразует данные в новое пространство меньшей размерности с минимальной потерей информации.

LDA (Анализ линейных дискриминантов): Максимизирует разницу между классами, используя линейные комбинации признаков.

t-SNE: Метод для визуализации высокоразмерных данных в пространстве низкой размерности, особенно полезен для кластеризации.

UMAP: Подобен t-SNE, но более эффективен и устойчив для больших наборов данных.

Autoencoders: Нейронные сети, обучающиеся кодировать данные в пространство меньшей размерности и декодировать обратно с минимальной потерей информации.",,,
Отбор признаков / Feature engineering,Что такое PCA,"PCA (Principal Component Analysis, Анализ главных компонент) — это метод сокращения размерности, который преобразует данные в новое пространство, где новые оси (главные компоненты) представляют собой линейные комбинации исходных признаков. Эти компоненты упорядочены по доле объясняемой дисперсии данных, что позволяет сократить размерность, сохраняя максимальную возможную информацию. PCA используется для визуализации и предварительной обработки данных.",,,
Отбор признаков / Feature engineering,"Обработка категориальных данных-One-hot-encoder, label encoder, helmert, Frequency","One-hot encoding: Преобразует категориальные данные в бинарные векторы, где каждая уникальная категория кодируется отдельной колонкой с 0 и 1.

Label encoding: Преобразует категории в числовые значения, присваивая каждой уникальной категории уникальное целое число. Этот метод может быть менее подходящим для неупорядоченных категорий.

Helmert coding: Кодирование, которое сравнивает среднее каждой категории с средним всех предыдущих категорий.

Frequency encoding: Присваивает каждой категории значение частоты её появления в данных. Это может быть полезно для категорий с различной частотой появления.",,,https://youtu.be/589nCGeWG1w?si=lum5UF-IUFOw1AV7
Отбор признаков / Feature engineering,Категориальные признаки-Расскажите как преобразовываете категориальные переменные?,"One-hot encoding: Преобразую категориальные переменные в бинарные векторы, используя pandas или scikit-learn. Этот метод полезен для признаков с небольшим числом уникальных значений.

Label encoding: Использую label encoding для упорядоченных категориальных переменных, где существует естественный порядок между категориями.

Target encoding: Среднее значение целевой переменной для каждой категории, подходит для задач классификации с категориальными признаками, которые сильно коррелируют с целевой переменной.

Frequency encoding: Использую частоту появления категории в данных, если число категорий велико и они имеют различную частоту появления.

Embedding: В задачах с большими категориями и использованием нейронных сетей применяю векторные представления категорий, которые обучаются вместе с моделью.

Hashing: Использую хэш-функции для преобразования категориальных признаков в фиксированное количество столбцов, чтобы уменьшить размерность пространства.

Backward difference coding: Сравниваю среднее каждой категории со средним всех последующих категорий.",,,
